time,joint1,joint2,joint3,joint4,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,x,y,z,pitch
1.94,-0.0026142171302492713,-1.0864549850688348,0.9199922006947304,0.29903704872786385,0.00042267403679397824,0.30256597918404665,-0.20042078119043377,-0.20442159837084176,0.3151387244403131,-0.0008238429285878482,-0.021837176989146615,0.13257426435375952
1.96,-0.0026057341203824034,-1.0803825274221213,0.9159697831427563,0.2949343353245657,0.0004256221562027349,0.3046763539835679,-0.2018187009666932,-0.20584742354405883,0.3159150844761129,-0.0008231925778818657,-0.02148764204383059,0.13052159104520078
1.98,-0.002597192435748766,-1.0742680681696417,0.9119195435776741,0.2908032445226982,0.0004285415134709183,0.3067661397606548,-0.20320298250123292,-0.2072593382277811,0.3166934470360884,-0.0008225156744955835,-0.021131397967688134,0.1284547199307306
2.0,-0.0025885926515911706,-1.0681120190918445,0.9078417547643185,0.2866440545320511,0.00043143210859852843,0.30883533651530737,-0.20457362579405308,-0.2086573424220085,0.3174736635986886,-0.0008218118282682765,-0.020768394596788614,0.1263737902045251
2.02,-0.0025799353431524286,-1.061914791969179,0.9037366894675235,0.2824570435624144,0.00043429394158556536,0.31088394424752563,-0.20593063084515362,-0.21004143612674117,0.3182555850941146,-0.0008210806538632136,-0.020398583072671787,0.12427894106075899
2.04,-0.002571221085675352,-1.055676798582093,0.8996046204521239,0.2782424898235781,0.0004371270124320291,0.31291196295730944,-0.20727399765453458,-0.21141161934197905,0.31903906192701353,-0.0008203217709459983,-0.02002191587249279,0.12217031169360898
2.06,-0.0025624504544027515,-1.049398450711036,0.8954458204829537,0.2740006715253319,0.0004399313211379195,0.31491939264465896,-0.20860372622219597,-0.2127678920677221,0.3198239439997855,-0.0008195348043620378,-0.019638346838697057,0.12004804129724955
2.08,-0.0025536240245774386,-1.0430801601364563,0.8912605623248474,0.2697318668774658,0.0004427068677032366,0.3169062333095741,-0.20991981654813768,-0.21411025430397035,0.3206100807364981,-0.0008187193843130577,-0.019247831208207965,0.11791226906585689
2.1,-0.0025447423714422255,-1.0367223386388027,0.8870491187426396,0.26543635408976973,0.0004454536521279806,0.3188724849520549,-0.21122226863235982,-0.2154387060507238,0.3213973211074045,-0.000817875146532571,-0.018850325641119096,0.11576313419360662
2.12,-0.0025358060702399235,-1.0303253979985236,0.8828117625011644,0.26111441137203345,0.00044817167441215137,0.3208181475721013,-0.21251108247486233,-0.21675324730798243,0.32218551365405923,-0.0008170017324602126,-0.018445788248875335,0.11360077587467426
2.14,-0.0025268156962133435,-1.0238897499960682,0.8785487663652565,0.25676631693404706,0.00045086093455574885,0.32274322116971343,-0.2137862580756453,-0.21805387807574633,0.3229745065150261,-0.0008160987894148533,-0.018034178621932302,0.11142533330323534
2.16,-0.002517771824605297,-1.0174158064118848,0.8742604030997501,0.25239234898560026,0.0004535214325587731,0.32464770574489116,-0.21504779543470862,-0.2193405983540154,0.32376414745217225,-0.000815165970766399,-0.01761545785688043,0.10923694567346554
2.18,-0.0025086750306585965,-1.010903979026422,0.8699469454694796,0.24799278573648303,0.0004561531684212242,0.32653160129763453,-0.21629569455205233,-0.22061340814278962,0.3245542838775406,-0.0008142029361061851,-0.017189588583022223,0.10703575217954059
2.2,-0.0024995258896160517,-1.004354679620129,0.8656086662392796,0.24356790539648526,0.00045875614214310186,0.32839490782794356,-0.21752995542767645,-0.2218723074420691,0.3253447628807954,-0.0008132093514158737,-0.01675653498838992,0.1048218920156358
2.22,-0.002490324976720476,-0.9977683199734538,0.861245838173984,0.23911798617539692,0.00046133035372440646,0.33023762533581824,-0.218750578061581,-0.22311729625185373,0.326135431257231,-0.000812184889234762,-0.016316262845190888,0.10259550437592713
2.24,-0.00248107286721468,-0.9911453118668457,0.8568587340384277,0.23464330628300778,0.0004638758031651378,0.3320597538212585,-0.2199575624537659,-0.22434837457214357,0.3269261355363375,-0.0008111292288254065,-0.015868739534669857,0.10035672845458976
2.2600000000000002,-0.002471770136341474,-0.984486067080753,0.8524476265974449,0.23014414392910776,0.00046639249046529586,0.3338612932842645,-0.2211509086042312,-0.22556554240293863,0.3277167220109134,-0.000810042056337472,-0.01541393407137405,0.09810570344579961
